Academic Year,Institution Type_EN,Institution Type_AR,Emirate_EN,Emirate_AR,Sector_AR,Sector_EN,Education Category_AR,Education Category_EN,Total
2017-2018,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,الحصن,ALHOSON,1
2017-2018,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,1
2017-2018,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,1
2017-2018,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,19
2017-2018,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,116
2017-2018,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,57
2017-2018,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,144
2017-2018,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2017-2018,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,83
2017-2018,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,36
2018-2019,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,الفنية,STS,4
2018-2019,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,المهني,VEDC,3
2018-2019,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,6
2018-2019,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,الفنية,STS,4
2018-2019,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2018-2019,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,الفنية,STS,2
2018-2019,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,17
2018-2019,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2018-2019,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,الفنية,STS,1
2018-2019,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,112
2018-2019,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2018-2019,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,الفنية,STS,1
2018-2019,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,54
2018-2019,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,1
2018-2019,School,مدرسة,Dubai,دبي,حكومي,Goverment,الفنية,STS,1
2018-2019,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,141
2018-2019,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2018-2019,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,الفنية,STS,1
2018-2019,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,78
2018-2019,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2018-2019,School,مدرسة,Ajman,عجمان,حكومي,Goverment,الفنية,STS,2
2018-2019,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,35
2019-2020,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,8
2019-2020,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,238
2019-2020,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2019-2020,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,15
2019-2020,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2019-2020,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,103
2019-2020,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2019-2020,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,54
2019-2020,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,2
2019-2020,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,133
2019-2020,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2019-2020,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,77
2019-2020,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2019-2020,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,34
2020-2021,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,10
2020-2021,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,المهني,VEDC,1
2020-2021,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,246
2020-2021,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2020-2021,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,15
2020-2021,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2020-2021,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,103
2020-2021,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2020-2021,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,54
2020-2021,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,2
2020-2021,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,132
2020-2021,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2020-2021,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,76
2020-2021,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2020-2021,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,35
2021-2022,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,10
2021-2022,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,المهني,VEDC,1
2021-2022,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,232
2021-2022,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2021-2022,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,15
2021-2022,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2021-2022,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,103
2021-2022,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2021-2022,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,54
2021-2022,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,2
2021-2022,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,127
2021-2022,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2021-2022,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,76
2021-2022,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2021-2022,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,35
2022-2023,Ajyal,مدارس أجيال,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,1
2022-2023,Ajyal,مدارس أجيال,Sharjah,الشارقة,حكومي,Goverment,عام,General,2
2022-2023,Ajyal,مدارس أجيال,Fujairah,الفجيرة,حكومي,Goverment,عام,General,1
2022-2023,Ajyal,مدارس أجيال,Dubai,دبي,حكومي,Goverment,عام,General,2
2022-2023,Ajyal,مدارس أجيال,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,3
2022-2023,Ajyal,مدارس أجيال,Ajman,عجمان,حكومي,Goverment,عام,General,1
2022-2023,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,10
2022-2023,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,224
2022-2023,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2022-2023,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,15
2022-2023,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2022-2023,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,102
2022-2023,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2022-2023,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,53
2022-2023,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,1
2022-2023,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,62
2022-2023,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2022-2023,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,71
2022-2023,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2022-2023,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,35
2023-2024,Ajyal,مدارس أجيال,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,1
2023-2024,Ajyal,مدارس أجيال,Sharjah,الشارقة,حكومي,Goverment,عام,General,4
2023-2024,Ajyal,مدارس أجيال,Fujairah,الفجيرة,حكومي,Goverment,عام,General,2
2023-2024,Ajyal,مدارس أجيال,Dubai,دبي,حكومي,Goverment,عام,General,4
2023-2024,Ajyal,مدارس أجيال,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,4
2023-2024,Ajyal,مدارس أجيال,Ajman,عجمان,حكومي,Goverment,عام,General,3
2023-2024,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,التطبيقية,ATHS,12
2023-2024,School,مدرسة,Abu Dhabi,أبوظبي,حكومي,Goverment,عام,General,217
2023-2024,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,التطبيقية,ATHS,2
2023-2024,School,مدرسة,Umm Alquwain,أم القيوين,حكومي,Goverment,عام,General,14
2023-2024,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,التطبيقية,ATHS,1
2023-2024,School,مدرسة,Sharjah,الشارقة,حكومي,Goverment,عام,General,95
2023-2024,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,التطبيقية,ATHS,1
2023-2024,School,مدرسة,Fujairah,الفجيرة,حكومي,Goverment,عام,General,45
2023-2024,School,مدرسة,Dubai,دبي,حكومي,Goverment,التطبيقية,ATHS,1
2023-2024,School,مدرسة,Dubai,دبي,حكومي,Goverment,عام,General,49
2023-2024,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,التطبيقية,ATHS,1
2023-2024,School,مدرسة,Ras Alkhaimah,رأس الخيمة,حكومي,Goverment,عام,General,65
2023-2024,School,مدرسة,Ajman,عجمان,حكومي,Goverment,التطبيقية,ATHS,2
2023-2024,School,مدرسة,Ajman,عجمان,حكومي,Goverment,عام,General,32
